order id,,,date,total,shipping,shipping_refund,gift,VAT,GST,PST,refund
702-3403632-1118643,,,2021-09-22,CDN$80.21,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 70.98,0,CDN$ 0.00,0
701-2765260-4501836,,,2021-03-04,CDN$24.99,CDN$ 0.00,0,0,CDN$ 24.99,0,CDN$ 0.00,0
701-9429560-0314651,,,2021-02-22,CDN$12.84,CDN$ 0.00,0,0,CDN$ 11.36,0,CDN$ 0.00,0
701-7785631-1983444,,,2021-02-10,CDN$52.60,CDN$ 0.00,0,0,CDN$ 52.60,0,CDN$ 0.00,0
701-9741264-4625801,,,2021-02-06,CDN$45.98,CDN$ 6.99,-CDN$ 6.99,CDN$ 4.99,CDN$ 45.98,0,CDN$ 0.00,0
701-6405560-2487422,,,2021-02-03,CDN$78.86,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 72.36,0,CDN$ 0.00,0
701-1102489-1078645,,,2021-02-03,CDN$17.99,CDN$ 0.00,0,0,CDN$ 17.99,0,CDN$ 0.00,0
701-5545370-3425847,,,2021-01-25,CDN$38.94,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 38.94,0,CDN$ 0.00,0
701-5532580-2722664,,,2021-01-07,CDN$42.95,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 42.95,0,CDN$ 0.00,0
701-3412917-7465056,,,2021-01-05,CDN$54.04,CDN$ 6.99,-CDN$ 6.99,CDN$ 4.99,CDN$ 48.97,0,CDN$ 0.00,0
701-4269706-9321854,,,2021-01-01,CDN$40.01,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 37.70,0,CDN$ 0.00,0
702-4498631-7627437,,,2021-07-30,CDN$80.21,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 70.98,0,CDN$ 0.00,0
702-8035788-6785859,,,2021-07-19,CDN$104.99,CDN$ 0.00,0,CDN$ 4.99,CDN$ 104.99,0,CDN$ 0.00,0
702-5092494-6527437,,,2021-07-17,CDN$27.52,CDN$ 0.00,0,0,CDN$ 24.35,0,CDN$ 0.00,0
702-1972800-5508257,,,2021-07-17,CDN$57.95,CDN$ 0.00,0,0,CDN$ 57.95,0,CDN$ 0.00,0
702-2415949-6233012,,,2021-07-10,CDN$77.97,CDN$ 0.00,0,0,CDN$ 69.00,0,CDN$ 0.00,0
702-7067887-3189043,,,2021-07-08,CDN$71.16,CDN$ 0.00,0,0,CDN$ 62.97,0,CDN$ 0.00,0
702-1168660-9169012,,,2021-07-08,CDN$29.61,CDN$ 0.00,0,0,CDN$ 29.61,0,CDN$ 0.00,0
702-9896586-3086647,,,2021-07-03,CDN$10.14,CDN$ 0.00,0,0,CDN$ 8.97,0,CDN$ 0.00,0
702-6247774-0923418,,,2021-06-21,CDN$68.99,CDN$ 0.00,0,0,CDN$ 68.99,0,CDN$ 0.00,0
702-3192894-6147463,,,2021-06-09,CDN$37.99,CDN$ 0.00,0,0,CDN$ 37.99,0,CDN$ 0.00,0
701-7673943-7208267,,,2021-06-06,CDN$17.17,CDN$ 5.20,0,0,CDN$ 15.19,0,CDN$ 0.00,0
701-3810512-6086615,,,2021-06-06,CDN$13.32,CDN$ 0.00,0,0,CDN$ 11.79,0,CDN$ 0.00,0
701-2157936-2847429,,,2021-06-03,CDN$31.98,CDN$ 2.99,0,0,CDN$ 31.98,0,CDN$ 0.00,0
701-1475150-3086614,,,2021-06-03,CDN$33.99,CDN$ 0.00,0,0,CDN$ 33.99,0,CDN$ 0.00,0
701-1588096-5457854,,,2021-05-25,CDN$33.14,CDN$ 0.00,0,0,CDN$ 33.14,0,CDN$ 0.00,0
701-0889463-4014601,,,2021-05-25,CDN$39.98,CDN$ 0.00,0,0,CDN$ 39.98,0,CDN$ 0.00,0
